md5_stem,CallToUnknown,DenialOfService,ExternalBug,GasException,IntegerUO,MishandledException,Reentrancy,Timestamp,TransactionOrderDependence,UnusedReturn
004db1423153174d36f4767547f03f4c,0,0,0,0,0,0,0,0,0,0
004fc54835532c3fb2b3924ca121a266,1,0,0,0,1,0,1,0,0,0
0051124684bea2573a6ead0864e9cf51,0,0,1,0,0,0,1,0,0,1
0054087d58cf9b1c93ec698442f90c38,0,0,0,0,0,0,0,0,0,0
0054938ca672cbd4f0c93f514fa2f567,0,0,0,0,0,0,0,0,0,0
0054ac457b1e7fd9e152c313307a7f10,0,0,0,1,0,0,0,0,0,0
005505a1e157b82f765d15207d6df0d0,0,0,0,1,0,0,0,0,0,0
0055c98f3e60320b802cd7c82ed739a8,0,0,0,0,0,0,0,0,0,0
005623d5c73a60f88684089800e800de,0,0,0,0,1,1,1,1,1,1
0056815b97d3bc14e9a438e5b0e2d4c5,0,0,0,1,1,1,0,1,0,0
00570f4193776c02fad0926dc0d8ffbe,0,0,1,0,0,0,0,1,0,0
0057dad98ed49053cb7a931b34080464,0,0,1,1,1,0,0,0,0,0
005876caf038b6df10dbc428f40d98d2,0,0,1,1,1,1,1,0,0,0
0059dfe2a34961167d1c038a33baa1ae,0,0,0,0,0,0,0,0,0,0
005a5c3a38fb8d0a0b7353f94c3f4c12,0,0,0,0,0,0,0,0,0,0
005ac879e0dd08d1363e8a3b7767756a,0,0,1,0,0,0,1,0,0,1
005aed6e3020a6fe32313c15dd998897,0,0,0,1,1,1,0,0,0,1
005b7cc66bc753b69f06f6a21ffc072e,0,0,0,0,1,0,0,0,0,0
005c4b70f3306e9c9307cbb551383a80,0,0,0,1,1,1,0,0,0,1
005cab194eba8f99241a2cc088235ef8,0,0,0,0,0,0,0,0,0,0
005d4b58a14f055299a094c738649850,0,0,1,0,0,0,1,0,0,1
005e580d27d7a42af225ea6cd9358fa9,0,0,0,1,1,0,1,0,1,1
005ffdc4f04abe71a08aa787abbaa7bf,0,0,0,0,0,0,0,0,0,0
006011e5c69531feac8ef297db13506b,1,0,0,0,1,0,1,1,0,0
0060225f6defb51c2c163a92c2eceb22,0,0,0,0,1,0,0,1,0,0
0061175abdc99a3d0c9f490d34722c0a,0,0,1,0,0,0,1,0,0,1
00630bdeb8cdbed0de237408c1aac7db,0,0,0,0,1,0,0,1,1,0
006509cd61c6ff132fe995b96fdc17a5,0,0,0,0,1,1,0,0,1,0
00650d7c24ef36320f29eb2914d2c952,0,0,1,1,1,0,1,1,1,0
0066d61579a5ff46ada45a3834f68c15,0,0,0,1,1,0,1,0,1,1
0067d96d117f57fb0ad88ea0d502e4a3,1,0,0,0,1,0,0,0,0,0
00694b57e2ab262643588e9a5cde74b4,0,0,1,0,0,0,1,0,0,1
0069d12fd2e9ff8153e675b767c0fcee,0,0,1,1,1,1,1,1,0,0
006ac18fdcac689cb4fcfee2588974af,0,0,0,0,1,0,0,0,1,0
006b129b19e58bf886e900bd0fef9842,0,0,0,0,0,0,0,0,0,0
006b5f2fe9fc8b015874cda982cdd0a9,0,0,0,0,0,0,0,0,0,0
006d92215a0138a074ac639f8290507e,0,0,1,0,0,0,1,0,0,1
006e1ef7b0ebc914539f59fb20892710,0,0,0,0,1,1,0,0,0,0
006ea20b259c2d31f5a63760b819e5ca,0,0,0,0,1,0,0,0,0,0
006f49dcd032bd3b257cb3f151ac0c48,0,0,1,0,0,0,1,0,0,1
0073c4d441378ce55b04199998ba954e,0,0,0,0,1,1,0,1,1,0
007406296ec68149bb5ad724bf323db5,1,0,0,1,1,0,1,1,0,0
007479baf321e844bf729bbed254bce0,0,0,0,0,0,0,0,0,0,0
00758c89b39d7964bbcca37537dff2f2,0,0,0,0,1,0,0,0,1,0
0076347483508872b07ce7e0107ce7ff,0,0,0,0,1,1,0,0,0,0
00764d6aeb3d3131c77f36424c9d6831,0,0,0,0,0,0,0,0,0,0
0076cf333baecd45a993eb4563c2d70a,0,1,0,1,0,1,1,0,0,0
00775a87490319fca264e1e894cebb3d,0,0,1,0,0,0,1,0,0,1
0077e6c98fc42893fa8546ba1b013fdb,0,0,0,0,1,0,0,0,0,1
0077fe7becc81be906721b6ec553a2c7,0,0,0,0,1,0,0,0,0,0
007be2a67d02eb95dc30dcd7fbe15a40,0,0,0,0,1,1,1,1,0,0
007d694ea8333b4a160d5bd7a5852f78,0,0,0,1,0,0,0,0,0,0
007d9e256f1dd24fa055241cfeb5124a,0,0,0,0,0,0,0,0,0,0
007da09c005ec6017dcc450f3291cbff,0,0,1,0,1,0,1,0,0,0
007e7af65a06a053ccff7d39c03b7a23,0,0,0,0,0,0,0,0,0,0
007ed61d5d7d955332aaa912b6b2d9da,0,0,0,0,0,0,0,0,0,0
007eda785c50d7f6863251f71081457d,0,0,0,0,0,0,0,0,0,0
00807d6b120fdfccfdd49fcc0434ad4d,0,0,0,1,1,0,0,0,0,0
0080bf7ade610f76b3605d7cbd0b2018,0,0,0,0,0,0,0,0,0,0
0080c2d87f3db0e3496d113651ebced8,0,0,0,0,0,0,0,0,0,0
00816506f3aa4e1f465e86ed2320bf41,0,0,0,0,0,0,0,0,0,0
008270bf3905823a33b8b06b36b984fb,0,0,0,0,0,0,0,0,0,0
008443e3c8839ef6d39c32a762dc924e,0,0,1,0,0,0,1,0,0,1
008463b888018a1d6623379bb9cc9cf6,0,0,0,0,0,0,0,0,0,0
008517804e520ac3f41691cd4602d7d3,0,0,1,1,1,0,0,0,0,1
0088194828c00c4de1a45de0d0ad91fa,1,0,0,1,1,1,1,0,1,1
008978d7aeb3f8c2cacb60043264af1c,0,0,0,0,1,1,0,0,0,0
008d055036dbeb50cf50dcfc6f31b71b,0,0,0,0,0,0,0,0,0,0
008fba76c1a76960258ee4ebcb6b2dab,0,0,0,0,1,1,0,0,0,0
009170cfb28d98be1dde2cd8c6165160,0,0,0,0,0,0,0,0,0,0
00918204d7a0454361ec51e235d6a61c,0,0,0,1,1,1,1,0,1,1
0092d3b0df2d013dd0e9ee07525e63a9,0,0,0,0,1,0,0,0,1,0
0093d8462e3e2c0e2d02d353c383e004,0,0,0,0,0,0,0,0,0,0
009495bd77f0c92ad50bc4f31840e1e7,0,0,0,0,1,1,0,0,0,0
0094c1b1869ddc51973afc3c003dcb2a,1,0,0,1,1,0,1,0,0,1
0097d8046bc1597cf3ab85652fc7896f,0,0,0,0,0,0,0,0,0,0
009a29618b303292d7966fde0997d261,0,0,0,0,0,0,0,0,0,0
009b00381a68933fc5cf148c0fbf83f5,1,0,1,1,1,0,1,0,0,0
009dfb8031b59073908971e60a5010ef,0,0,1,0,0,0,0,0,1,1
009f8eaff0ed62b90d7b1a17d5e771af,1,0,0,0,1,0,0,0,0,0
00a04a6a5aba276c1bbbf2d0cfae043d,0,0,0,0,0,0,0,0,0,0
00a0985a6da9f6345d9ad06a751c1395,0,0,0,1,1,0,0,0,0,0
00a0aceff534aae5b83bf0c6a7fa1d7b,0,0,0,0,0,0,0,0,0,0
00a119ebdf96db5dce5cee5e1eec0d08,0,0,1,0,0,0,1,0,0,1
00a234e5b8b1ec2a1ee795eea7bc597b,0,0,0,1,0,0,0,0,0,0
00a257a6b5231343ef31e80001de59a3,0,0,0,0,0,0,0,0,0,0
00a324a9cc7e8e0369838f564854d297,0,0,0,0,1,0,0,1,1,0
00a3d58fc0ceb409f01c346624e53a44,0,0,0,0,0,0,0,0,0,0
00a4a05c64786ec6c56ae0f16b8c7249,0,0,0,1,1,0,0,0,1,0
00a5148647daabe1f54b2c60de7533ee,0,0,0,1,1,0,1,0,1,0
00a58e35377650e836764028a95880cb,1,0,0,0,1,1,0,0,0,0
00a75384b8891634059b8633b54cc550,1,0,0,0,0,0,1,0,0,0
00a78da52149ff66e08e4fc87f3e715f,0,0,0,1,1,0,0,0,1,0
00a80582013ed5f9aee6f4016ccaab62,0,0,0,1,1,1,0,0,0,0
00a99f795082e07abf9141f1e5dd65a5,0,0,0,0,1,1,0,0,0,0
00aa4fb43800e74f19c2db21a718ed55,0,0,1,0,1,0,0,0,0,0
00acabb41c402e6ebd2b0a9dad943781,0,0,0,0,1,0,0,0,0,0
00af2b847af46c57ee305799543210be,0,0,0,0,0,0,0,0,0,0
00b288cdbe80c2d57c69bb39a70ab10c,0,0,0,0,0,0,0,0,0,0
00b2e7a4f12a0dccb2741f2756986fc3,1,0,0,1,1,1,1,0,0,1
00b484f7e1f90f8c35db2098a790e2a3,0,0,0,0,1,1,0,0,0,0
00b51106ec73b67a1bd22e5ac0cab998,1,0,0,1,0,0,0,0,0,0
00b7a45b80a8a61f620f82a853800c9c,0,0,1,1,1,1,0,0,1,0
00b84adbcbe669f2e4e82580412c011a,0,0,0,0,0,0,0,0,0,0
00b9992896665bc5dbea9a492740cdd5,1,0,0,1,0,0,0,0,0,0
00be2848798ed09ec0ff1bcffb08f067,0,0,0,0,0,0,0,0,0,0
00be58aac6757f592ce7a9fd9298a93a,0,0,0,0,1,1,0,0,0,1
00bece29e4decf7dc7b39af5cc11fccb,0,0,0,0,0,0,0,0,0,0
00befd1a30991aa531bc1d438e822866,0,0,0,0,0,0,0,1,0,0
00bf1409a496e00ff49a0801704108f8,0,0,0,0,1,0,0,0,0,0
00c2023937afa4aeb0ae4fc9dc96c1f4,0,0,0,0,0,0,0,0,0,0
00c3304855aaa0b4b4c896cde511d00b,0,0,0,1,1,1,0,1,0,0
00c4243a8b919371dbeb6994eeb4dff9,0,0,0,1,1,0,1,0,1,0
00c48a81a79e061285942b9f3387e486,0,0,0,0,0,0,0,0,0,0
00c54ed00bc58332d59fc034282dbf5a,0,1,0,1,0,0,1,0,0,0
00c5bfdb2644fe131dd929198bb7cb15,1,0,0,0,1,0,0,1,0,0
00c5ccfd04c4ab487f02068df64d4052,0,0,0,0,0,0,0,0,0,0
00c745affb6666cd42e99c2cc1e9a3c2,0,0,0,0,0,0,0,0,0,0
00c7b0c3aeb0d58f8efc75b7d5543ba1,0,0,0,0,0,0,0,0,0,0
00c86841d2e3086a712a949035b6fbf8,1,0,0,0,0,0,0,0,1,1
00c88216767d516950b744db5b11dceb,0,0,0,0,0,0,0,1,1,0
00c8bef40d544845530c1ec3e9bc9fc6,1,0,0,1,1,0,1,0,1,1
00c8bf182cb1bb8c3a55d104d150f30f,0,0,0,1,1,1,1,1,0,1
00cd5db64d998732a02577b6abf0ec20,0,0,0,1,1,1,1,0,1,1
00ce03fe40d5b54854722ffe7fedf51c,0,0,0,0,1,0,0,0,0,0
00cef771fb099eca27394569ae5c0011,0,0,1,0,1,0,0,0,0,0
00cf5fa7056548330acb71de59c549e6,0,0,0,0,0,0,0,0,0,0
00cfeb96be602f1e5ce0888175f650db,1,0,0,1,1,0,1,0,0,0
00d1cdcab51f3fb164def2745cbf2e79,1,0,0,0,0,0,1,0,0,0
00d3425f9dab4e2d27d2b1d4061c7515,0,0,0,0,0,0,0,0,0,0
00d6bbda9de1a125265ccb3da2bbdf71,0,0,0,0,1,1,0,0,0,0
00d8c647e36868bffa3030ffa4090362,1,0,0,0,1,0,0,0,0,0
00da2dac1f3c8a619b004408c7b8cb52,0,0,0,0,1,1,0,0,0,1
00da95c67741d9f956d2ef67ae186771,0,0,0,0,0,0,0,0,0,0
00daacd9e662462506f27c1881e207a1,0,0,0,0,0,0,0,0,0,0
00dac1d14d21b103701d99793e216235,0,0,0,0,0,0,0,0,0,0
00daf98a95ee0c01b012523b07ea5a77,0,0,0,0,0,0,0,0,0,0
00db694036362c03b961a043d3efa7f7,0,0,0,0,0,0,0,0,0,0
00dca03d440b7fa6f6efae8597d3d98b,0,0,0,0,0,0,1,0,0,0
00dcdc2ca58524f165b9fe8a807f6d9f,0,0,0,0,0,0,0,0,0,0
00dcff719cc7193a7633627149c19e70,0,0,0,0,0,0,0,0,0,0
00de4fee9f2623361a51d149c12d9f87,1,0,0,1,1,1,1,0,0,1
00dfe2049646b6950e163704f3fb1ddf,0,0,0,0,1,1,0,0,0,0
00e2acd473426c2fd3f389a35079d42c,0,0,0,1,1,1,0,1,0,0
00e306e8cf44c2879170d74edbd2bf6a,0,0,0,0,1,0,0,0,0,0
00e39564949e2181b0a0a950db92b489,0,0,0,0,1,1,0,0,0,0
00e3f5f0f44bfd250a7431bce3a2f24b,0,0,0,0,1,0,0,0,0,0
00e53172b7203459a924044aaba2488b,0,0,0,1,0,0,0,0,0,0
00e59dd52f4929bfdcb3698dc0084a0e,0,0,1,0,1,0,0,0,0,0
00e5abcef9fb91f24b158484998da5aa,0,0,0,0,1,0,0,0,0,0
00ea2bb067021e69b10b19ac54e62093,1,0,0,0,0,0,1,0,0,0
00ea714e5ead2ee2157a4252db1dc504,0,0,0,0,0,0,0,0,0,0
00eafc352968571f0c62f478c75beacd,0,0,1,0,1,1,1,0,0,1
00eb63fb6dff88eaeee6051988c7929a,0,0,0,0,0,0,0,0,0,0
00ec22e50fde416f5f5858aa45664326,0,0,0,1,1,0,0,0,0,0
00edf2ce178519fe75d53baec9537fd9,0,0,0,0,0,0,0,0,0,0
00eeb10bada5c07eb7a5aec28b80d1ba,0,0,0,0,0,0,0,0,0,0
00ef01b89fd163a8c65a797dc4867a23,0,0,0,0,0,0,0,0,1,0
00f085e892a257db0194d20bff959681,0,0,0,0,0,0,0,0,0,0
00f0be470feeaf4c1a7f85492d184328,0,0,1,0,0,0,0,0,0,0
00f162d62d68fcebbdd896576f0ccccf,1,0,0,1,1,0,0,0,0,0
00f2df6e8df22209760d91e0ad9faf43,0,0,0,0,0,0,0,0,0,0
00f38752a816f04bba3bfb65d445f195,0,0,0,1,1,1,1,1,1,0
00f41fe6c5196307ca2c66dfb80457a3,0,0,0,0,1,1,0,0,0,0
00f6f2521f7bab7abeb156c5f14f6f68,0,0,0,0,1,0,1,1,1,0
00f8ea3f80c899219d57e96a2a2ad94a,0,0,0,0,0,0,0,0,0,0
00f8eaf3a76ca05583cd006e019f5958,0,0,0,0,0,0,0,0,0,0
00f997d96ac594f664f6edd7687f1011,0,0,0,0,0,0,0,0,0,0
00fbaf65c8fd5af78f1dea556f7ec126,0,0,0,0,0,0,0,0,0,0
00fc2b6aab3ae868f16773986d833c69,0,0,0,0,0,0,0,0,0,0
00fc8361f1d1eec68222aaed1e0d4869,0,0,0,0,0,0,0,0,0,0
00fcaa1373887927bee575731091d3ff,0,0,0,0,0,0,0,0,0,0
00fcacbaade087bc4d800cff2d5877c7,0,0,0,1,1,1,1,0,0,0
00fcb0dc5dacbf46b39e3c37e090b6e1,0,0,0,0,0,0,0,0,0,0
00fde9f5fa6d52a3c2e871753999fd84,1,0,0,0,1,0,1,0,0,0
00fed696ac2d2128a12390f464a81f7b,0,0,0,1,1,0,0,0,0,1
00ff2350be9b1a8bd74fa33a67c35aa7,0,0,0,0,0,0,0,0,0,0
00ff95e60d34027bc907e65a99eb819d,0,0,0,0,0,0,0,0,0,0
01000e7e02a00f907fa80ea3753d1a6a,0,0,0,0,0,0,0,0,0,0
010219232c39955da2ff80b7ed90301b,0,0,0,0,0,0,0,0,0,0
0103c7510d6672a0f4cc99dab6cf1ced,0,0,0,0,0,0,0,0,0,0
0104164aed2f105f019d52033a05ee3e,0,0,1,0,0,1,1,1,1,1
010561e4dbf2416bf96aa05616aac328,0,0,0,0,0,0,0,0,0,0
0105cc0efca63ffa2506fa89ac2c2055,0,0,0,0,0,0,0,0,0,0
0106c994df812e0c25d052feac7d61a3,0,0,0,1,1,0,0,0,0,0
01075d8a5ee556c1144ac353e193739d,1,0,1,1,1,1,0,0,1,1
0108376d001ca158a9173d46eadbd712,0,0,0,0,0,0,0,0,0,0
0108a86eb92e4a0e76ebe3b5694bb5b4,0,0,0,0,0,0,0,0,0,0
01094114ead923e5488368a041aa99ba,0,0,0,1,1,1,0,0,0,0
010afde6bd476816431db2298aed9c99,0,0,0,0,0,0,0,0,0,0
010b0a6fac2de66e83f04e1119b4b9c1,0,0,0,1,0,0,1,1,0,0
010b3dd50a8184d04bc350b275e190ac,0,0,0,0,1,1,0,0,1,0
010cf969e9b0c395ca959e428fe4ce00,0,0,0,1,1,1,0,0,0,0
010d697bcbc2eebff6f9e15329d72e1b,0,0,0,0,1,1,0,0,0,0
010e2fdb00f0646b4b416d37c03b828d,0,0,0,0,0,0,0,0,0,0
010e924246e173ee2f6fa97511f2c4ff,0,0,1,1,1,1,1,1,1,1
0110c2c1ab48eedf347d7d28daef0bb5,0,0,1,0,0,0,1,0,0,1
01119262efb87c34e601369a71956061,0,0,0,1,1,1,0,0,0,0
01130c59467fd0f453d30d37d1774c89,1,0,0,1,1,1,1,1,1,0
0113348520206ab408f8c6772017fb76,0,0,1,0,1,0,0,0,0,0
0113ae45edac4483870c897730a16815,0,0,0,0,0,0,0,0,0,0
011578fcdbca3e2bc728cbd652cb104f,0,0,0,0,0,0,0,1,0,0
0115bd2d392e6a8fcb7843dff54fb7d4,0,0,0,0,1,0,1,1,1,0
011683fc4d7b51b063aae3028aa49f38,0,0,1,0,1,1,1,0,0,0
0116e644273acfe700c730a758041b74,0,0,0,0,0,0,0,0,0,0
0117d571a2bb19d31a2fb339cd2ca171,0,0,0,1,1,0,0,0,0,1
011877a4aef6816914ba5d55a7aa59a8,0,0,0,0,0,0,0,0,0,0
011937fedec08fbd0859ea054054ae28,0,0,0,0,0,0,0,0,0,0
011d72e3fcc924d61e2dc3719baad7a6,0,0,0,0,0,0,0,0,0,0
011f528d1ffae68a2d55eacf040a98f1,1,0,0,0,0,0,1,0,0,0
012251f5ef8c74233a30302861bf87fa,0,0,0,0,1,1,0,0,0,0
0123425e4cc97860f42b76e5ee056f31,0,0,1,0,1,0,0,0,1,0
0123eac200396e8a68fbb20b4f0f7968,0,0,0,0,0,0,0,0,0,0
012402d55101be5e13289ac26f7854a3,0,0,0,1,1,0,0,0,0,0
0125fa4893545c130a8100dc237e387c,0,0,0,0,0,0,0,0,0,0
012642553f8765eab9b8476cf65a4b29,0,0,1,0,1,0,0,0,0,0
012837e23397885c15e1f31b082bb3fa,0,0,0,0,1,1,1,0,0,0
012b5185fdac9ff542c6aebd2c675933,0,0,1,0,0,0,1,0,0,1
012c3c6e140ace8f422096d5bf3b027a,0,0,0,0,0,0,0,0,0,0
012d79429cb12c0cbbcb73546dbf0b3b,0,0,0,0,0,0,0,0,0,0
012e778ec766c59b8228974327f139d2,1,0,0,0,0,0,1,0,0,0
012f568773f61a61fa288586234cad33,0,0,0,1,1,1,0,0,0,0
012f8ec58a0292c10571cd4c4c02d8b5,1,0,0,0,0,0,1,0,0,0
012f915b2a68222526e9df2c73bd04f4,0,0,1,0,1,1,1,1,0,0
012ff29b80155dcb32bdc909d82014ec,0,0,0,0,0,0,0,1,0,0
0130b64229cf63fe83f56b80ddf3f2c1,0,0,1,1,1,1,1,0,1,0
0130c5dc33536f5e96f104dae0eec0f9,0,0,0,1,1,1,0,0,0,0
013122125a945f99e54cb4742a23baa7,1,0,1,0,1,0,0,0,0,0
01316fb1adeb8f54a23fde2c3bdd3e54,0,0,0,0,1,1,0,0,0,0
0132ed90448294d2710552c56598b960,0,0,0,0,0,0,0,0,0,0
01332af36e0eb5c09c14c493256864d9,0,0,0,0,1,1,0,0,0,0
0134d20c5845067776c84ea2b51b3e3b,0,0,0,0,0,0,0,0,0,0
01350a7b1d5be37100442448cd58941f,0,0,0,0,0,0,0,0,0,0
01384ed4756e65007118e1aae91a6111,0,0,1,0,0,0,1,0,0,1
0139dcc83ce17742613b42643306582b,0,0,0,1,0,0,0,0,0,0
013a04bb1dcb0bbcdced75a4073a6e04,0,0,0,0,0,0,0,0,0,0
013b65479df5c73a133145eefd1237c8,0,0,0,0,0,0,0,0,0,0
013c67dece6f1c55554eafff23e7ff65,0,0,0,0,1,0,1,0,0,0
013c9aa67128e26b485f1a5de481e803,0,0,0,0,0,0,0,0,0,0
013e4cc4e6b7370a874276176d74a2e6,0,0,0,0,0,0,0,0,0,0
013ffda597ba8022aabb99920133c734,0,0,0,0,0,0,0,0,0,0
0142370afed309127dcd1fccf9942ffc,0,0,0,0,1,0,0,0,0,0
01427303697e1e1463053ad1cba15a98,0,0,0,1,1,0,0,0,0,0
0142adf2210494408f597e613d46ccbe,0,0,0,0,1,0,0,1,0,0
0144e971d8831c33314c033796389fb5,0,0,0,0,0,0,0,0,0,0
01462375a74803ebf46c8c5eb7563a7f,0,0,1,1,1,1,1,0,0,0
01464f8eb15c3aef57706565f3b881c3,0,0,0,0,0,0,0,0,0,0
014650be0da3b92c6c2c46a038cbed30,0,0,0,0,0,0,0,0,0,0
01476a9ae6f2ffb9053d04ad70d9b290,0,0,0,0,0,0,0,0,0,0
014783a758735bceabf918dfc128f260,0,0,0,0,0,0,0,0,0,0
0148359a3cefccfabe3fc9f28dededf8,0,0,0,1,1,0,1,1,0,0
01484d2dd4e96505456fbda4b198dcc1,1,0,0,1,1,1,1,0,0,0
014988aa158abb87c084342ca8ece5ea,0,0,0,0,0,0,0,0,0,0
0149eadd8eecc847cc26c297871c4862,0,0,1,0,1,0,0,0,0,0
014aaec43ebb2783db31a7e5994bca57,1,0,0,1,1,0,0,0,0,0
014d0c421565b8870158407a5f133e10,0,0,0,0,0,0,0,0,0,0
01509d089729934b3203c2cdcd807b30,0,0,0,0,1,1,0,0,0,0
0150b34feb91979f79a67134b31cddaf,0,0,0,0,1,1,0,0,0,0
0151966ce4c3247f1adbc6c608ff0d83,0,0,0,0,1,0,0,0,0,0
01547e414a6df7cba96cae0c8fae86ed,0,0,0,0,0,0,0,0,0,0
